year,city,avg_temp
1743,Toronto,-0.11
1744,Toronto,8.38
1745,Toronto,-3.96
1750,Toronto,6.29
1751,Toronto,6.84
1752,Toronto,-1.10
1753,Toronto,5.76
1754,Toronto,5.94
1755,Toronto,2.81
1756,Toronto,6.37
1757,Toronto,5.13
1758,Toronto,4.37
1759,Toronto,5.27
1760,Toronto,3.74
1761,Toronto,6.25
1762,Toronto,5.79
1763,Toronto,3.32
1764,Toronto,5.76
1765,Toronto,5.14
1766,Toronto,6.27
1767,Toronto,4.74
1768,Toronto,4.81
1769,Toronto,5.44
1770,Toronto,5.35
1771,Toronto,6.23
1772,Toronto,5.93
1773,Toronto,6.22
1774,Toronto,5.64
1775,Toronto,6.64
1776,Toronto,5.69
1777,Toronto,5.23
1778,Toronto,3.18
1779,Toronto,6.10
1780,Toronto,8.70
1781,Toronto,5.96
1782,Toronto,5.39
1783,Toronto,5.11
1784,Toronto,4.90
1785,Toronto,4.83
1786,Toronto,5.35
1787,Toronto,5.37
1788,Toronto,6.00
1789,Toronto,5.70
1790,Toronto,5.64
1791,Toronto,5.72
1792,Toronto,5.15
1793,Toronto,6.02
1794,Toronto,6.05
1795,Toronto,5.60
1796,Toronto,5.48
1797,Toronto,5.21
1798,Toronto,6.03
1799,Toronto,5.62
1800,Toronto,5.85
1801,Toronto,6.23
1802,Toronto,6.46
1803,Toronto,6.23
1804,Toronto,6.02
1805,Toronto,6.49
1806,Toronto,5.70
1807,Toronto,5.49
1808,Toronto,5.66
1809,Toronto,4.90
1810,Toronto,5.24
1811,Toronto,5.38
1812,Toronto,3.97
1813,Toronto,5.31
1814,Toronto,5.16
1815,Toronto,4.52
1816,Toronto,4.00
1817,Toronto,4.12
1818,Toronto,4.84
1819,Toronto,5.07
1820,Toronto,5.08
1821,Toronto,4.88
1822,Toronto,5.64
1823,Toronto,4.86
1824,Toronto,5.38
1825,Toronto,6.46
1826,Toronto,6.23
1827,Toronto,6.03
1828,Toronto,6.82
1829,Toronto,5.46
1830,Toronto,6.23
1831,Toronto,4.96
1832,Toronto,5.90
1833,Toronto,5.88
1834,Toronto,6.16
1835,Toronto,5.11
1836,Toronto,4.27
1837,Toronto,4.89
1838,Toronto,4.48
1839,Toronto,5.62
1840,Toronto,5.88
1841,Toronto,5.33
1842,Toronto,5.75
1843,Toronto,4.81
1844,Toronto,5.80
1845,Toronto,5.81
1846,Toronto,6.47
1847,Toronto,5.11
1848,Toronto,5.68
1849,Toronto,5.18
1850,Toronto,5.45
1851,Toronto,5.45
1852,Toronto,5.27
1853,Toronto,5.70
1854,Toronto,5.90
1855,Toronto,5.16
1856,Toronto,4.26
1857,Toronto,4.64
1858,Toronto,5.93
1859,Toronto,5.54
1860,Toronto,5.58
1861,Toronto,5.45
1862,Toronto,5.21
1863,Toronto,5.36
1864,Toronto,5.47
1865,Toronto,5.70
1866,Toronto,4.88
1867,Toronto,5.11
1868,Toronto,4.59
1869,Toronto,4.74
1870,Toronto,6.22
1871,Toronto,5.26
1872,Toronto,4.83
1873,Toronto,4.64
1874,Toronto,5.47
1875,Toronto,3.47
1876,Toronto,5.41
1877,Toronto,6.48
1878,Toronto,7.15
1879,Toronto,5.36
1880,Toronto,6.19
1881,Toronto,6.31
1882,Toronto,5.97
1883,Toronto,4.06
1884,Toronto,5.29
1885,Toronto,3.83
1886,Toronto,5.17
1887,Toronto,5.30
1888,Toronto,4.39
1889,Toronto,5.96
1890,Toronto,5.71
1891,Toronto,6.28
1892,Toronto,5.40
1893,Toronto,4.83
1894,Toronto,6.64
1895,Toronto,5.12
1896,Toronto,5.75
1897,Toronto,5.89
1898,Toronto,6.59
1899,Toronto,5.70
1900,Toronto,6.47
1901,Toronto,5.70
1902,Toronto,5.80
1903,Toronto,5.79
1904,Toronto,3.85
1905,Toronto,5.21
1906,Toronto,6.19
1907,Toronto,4.83
1908,Toronto,6.22
1909,Toronto,5.83
1910,Toronto,5.77
1911,Toronto,6.43
1912,Toronto,4.82
1913,Toronto,6.68
1914,Toronto,5.59
1915,Toronto,6.00
1916,Toronto,5.89
1917,Toronto,3.91
1918,Toronto,5.57
1919,Toronto,6.54
1920,Toronto,5.24
1921,Toronto,7.75
1922,Toronto,6.50
1923,Toronto,5.49
1924,Toronto,4.86
1925,Toronto,5.63
1926,Toronto,4.34
1927,Toronto,6.10
1928,Toronto,5.86
1929,Toronto,5.47
1930,Toronto,6.44
1931,Toronto,7.56
1932,Toronto,6.62
1933,Toronto,6.66
1934,Toronto,5.44
1935,Toronto,5.60
1936,Toronto,5.55
1937,Toronto,6.32
1938,Toronto,6.91
1939,Toronto,6.14
1940,Toronto,5.06
1941,Toronto,6.68
1942,Toronto,6.26
1943,Toronto,5.19
1944,Toronto,6.49
1945,Toronto,5.90
1946,Toronto,6.90
1947,Toronto,6.18
1948,Toronto,6.38
1949,Toronto,7.31
1950,Toronto,5.64
1951,Toronto,6.26
1952,Toronto,7.01
1953,Toronto,7.51
1954,Toronto,6.24
1955,Toronto,6.97
1956,Toronto,5.75
1957,Toronto,6.42
1958,Toronto,5.62
1959,Toronto,6.40
1960,Toronto,5.90
1961,Toronto,6.46
1962,Toronto,5.89
1963,Toronto,5.49
1964,Toronto,6.50
1965,Toronto,5.59
1966,Toronto,6.03
1967,Toronto,5.66
1968,Toronto,6.11
1969,Toronto,6.03
1970,Toronto,5.98
1971,Toronto,6.37
1972,Toronto,5.22
1973,Toronto,7.23
1974,Toronto,6.01
1975,Toronto,6.75
1976,Toronto,5.47
1977,Toronto,6.19
1978,Toronto,5.24
1979,Toronto,5.90
1980,Toronto,5.48
1981,Toronto,6.16
1982,Toronto,6.04
1983,Toronto,6.78
1984,Toronto,6.42
1985,Toronto,6.13
1986,Toronto,6.56
1987,Toronto,7.46
1988,Toronto,6.56
1989,Toronto,5.70
1990,Toronto,7.41
1991,Toronto,7.55
1992,Toronto,5.79
1993,Toronto,5.87
1994,Toronto,5.95
1995,Toronto,6.38
1996,Toronto,5.81
1997,Toronto,6.00
1998,Toronto,8.54
1999,Toronto,7.75
2000,Toronto,6.67
2001,Toronto,7.76
2002,Toronto,7.48
2003,Toronto,6.02
2004,Toronto,6.40
2005,Toronto,7.22
2006,Toronto,7.85
2007,Toronto,7.07
2008,Toronto,6.58
2009,Toronto,6.28
2010,Toronto,7.77
2011,Toronto,7.30
2012,Toronto,8.66
2013,Toronto,8.46
